id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1295814003604828161,1295729143531753472,2020-08-18 16:05:08 EDT,2020-08-18,16:05:08,-0400,432862262,nassarhuda,Huda Nassar,,@DieterCastel @OfficialLoganK @JuliaLanguage Yes!,und,"['dietercastel', 'officiallogank', 'julialanguage']",[],[],0,0,3,[],[],https://twitter.com/nassarhuda/status/1295814003604828161,,,0,,,,,,,,"{'user_id': '2348304300', 'username': 'DieterCastel'}",,,,
1295564381137383425,1295480460030521344,2020-08-17 23:33:13 EDT,2020-08-17,23:33:13,-0400,432862262,nassarhuda,Huda Nassar,,@alycosta @Kapoterike @quinn_jacobd said it best: https://t.co/QIJ6WZAADV,en,"['alycosta', 'kapoterike', 'quinn_jacobd']",['https://twitter.com/quinn_jacobd/status/1295400165931548673?s=21'],[],0,0,5,[],[],https://twitter.com/nassarhuda/status/1295564381137383425,,https://twitter.com/quinn_jacobd/status/1295400165931548673,0,,,,,,,,"{'user_id': '8296412', 'username': 'alycosta'}",,,,
1291219252633116674,1291164712047124483,2020-08-05 23:47:14 EDT,2020-08-05,23:47:14,-0400,432862262,nassarhuda,Huda Nassar,,@perfectionatic Thank you for writing such a warm message. 🤍,en,['perfectionatic'],[],[],1,0,2,[],[],https://twitter.com/nassarhuda/status/1291219252633116674,,,0,,,,,,,,"{'user_id': '242088914', 'username': 'perfectionatic'}",,,,
1291173243777421313,1291164712047124483,2020-08-05 20:44:24 EDT,2020-08-05,20:44:24,-0400,432862262,nassarhuda,Huda Nassar,,@acidflask They are. Thank you Jiahao ❤️.,en,['acidflask'],[],[],1,0,6,[],[],https://twitter.com/nassarhuda/status/1291173243777421313,,,0,,,,,,,,"{'user_id': '9343172', 'username': 'acidflask'}",,,,
1291165149664088064,1291164712047124483,2020-08-05 20:12:15 EDT,2020-08-05,20:12:15,-0400,432862262,nassarhuda,Huda Nassar,,"If you can afford to donate, please donate. Here's a link to the lebanese red cross donation website: https://t.co/wuNcZ77wSo, it's one of the most deserving entities that needs the money right now.",en,[],['https://www.supportlrc.app/donate/'],[],2,12,41,[],[],https://twitter.com/nassarhuda/status/1291165149664088064,,,0,,,,,,,,"{'user_id': '432862262', 'username': 'nassarhuda'}",,,,
1291165085076017152,1291164712047124483,2020-08-05 20:11:59 EDT,2020-08-05,20:11:59,-0400,432862262,nassarhuda,Huda Nassar,,The pictures of the familiar streets and neighborhoods and the stories of the missing and dead are devastating to say the least. Lebanon was already facing one of its worst economic crisis and famine. I can't even understand or unwrap the emotions I have right now.,en,[],[],[],2,0,24,[],[],https://twitter.com/nassarhuda/status/1291165085076017152,,,0,,,,,,,,"{'user_id': '432862262', 'username': 'nassarhuda'}",,,,
1291165020240465920,1291164712047124483,2020-08-05 20:11:44 EDT,2020-08-05,20:11:44,-0400,432862262,nassarhuda,Huda Nassar,,Yesterday was devastating on so many levels. Seeing my afraid nieces hold tight to their mom was heartbreaking. Being familiar w bombs sounds is a traumatizing experience that you live with for the rest of your life &amp; I had hoped that my nieces would never have to experience this,en,[],[],[],1,0,23,[],[],https://twitter.com/nassarhuda/status/1291165020240465920,,,0,,,,,,,,"{'user_id': '432862262', 'username': 'nassarhuda'}",,,,
1291164975516594177,1291164712047124483,2020-08-05 20:11:33 EDT,2020-08-05,20:11:33,-0400,432862262,nassarhuda,Huda Nassar,,"It took him ~15 years to build his dream house and, even through wars, financial insecurity, and instability, he built it. All throughout my life, I was amazed by my dad's positivity and resilience. In my entire life, I have never seen my dad broken. Until yesterday.",en,[],[],[],4,0,20,[],[],https://twitter.com/nassarhuda/status/1291164975516594177,,,0,,,,,,,,"{'user_id': '432862262', 'username': 'nassarhuda'}",,,,
1291164769009926144,1291164712047124483,2020-08-05 20:10:44 EDT,2020-08-05,20:10:44,-0400,432862262,nassarhuda,Huda Nassar,,"If you're reading this on twitter, you probably don't know my dad so I'll give some context. My dad grew up in an orphanage, he was poor and didn't live in a ""house"" as a child. His dream since he was a little boy was to one day have one of these old traditional Lebanese houses.",en,[],[],[],1,0,21,[],[],https://twitter.com/nassarhuda/status/1291164769009926144,,,0,,,,,,,,"{'user_id': '432862262', 'username': 'nassarhuda'}",,,,
1291164712047124483,1291164712047124483,2020-08-05 20:10:30 EDT,2020-08-05,20:10:30,-0400,432862262,nassarhuda,Huda Nassar,,"I have been crying on and off since yesterday and I'm finally coming here for venting purposes. Yesterday night (morning in Lebanon, i.e. second day after the explosion), I called my dad... I asked ""how are you"", he answered ""زفت"" -- meaning _extremely terrible_ .",en,[],[],[],10,8,120,[],[],https://twitter.com/nassarhuda/status/1291164712047124483,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
